id,university,typical,subject,start,end,term,first_result,interview_date,final_result
157,연세대학교,활동우수자전형,의류환경학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
158,연세대학교,활동우수자전형,식품영양학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
159,연세대학교,활동우수자전형,실내건축학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
160,연세대학교,활동우수자전형,아동가족학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
161,연세대학교,활동우수자전형,생활디자인학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
162,연세대학교,활동우수자전형,교육학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
163,연세대학교,활동우수자전형,간호학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
164,연세대학교,활동우수자전형,의예과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
165,연세대학교,활동우수자전형,치의예과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
166,한양대학교,학생부종합,건축학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
167,한양대학교,학생부종합,건축공학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
168,한양대학교,학생부종합,건설환경공학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
169,한양대학교,학생부종합,도시공학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
170,한양대학교,학생부종합,자원환경공학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
171,한양대학교,학생부종합,융합전자공학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
172,한양대학교,학생부종합,컴퓨터소프트웨어학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
173,한양대학교,학생부종합,정보시스템학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
174,한양대학교,학생부종합,전기생체공학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
175,한양대학교,학생부종합,신소재공학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
176,한양대학교,학생부종합,화학공학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
177,한양대학교,학생부종합,생명공학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
178,한양대학교,학생부종합,유기나노공학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
179,한양대학교,학생부종합,에너지공학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
180,한양대학교,학생부종합,기계공학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
181,한양대학교,학생부종합,원자력공학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
182,한양대학교,학생부종합,산업공학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
183,한양대학교,학생부종합,미래자동차공학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
184,한양대학교,학생부종합,의예과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
185,한양대학교,학생부종합,국어국문학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
186,한양대학교,학생부종합,중어중문학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
187,한양대학교,학생부종합,영어영문학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
188,한양대학교,학생부종합,독어독문학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
189,한양대학교,학생부종합,사학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
190,한양대학교,학생부종합,철학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
191,한양대학교,학생부종합,정치외교학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
192,한양대학교,학생부종합,사회학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
193,한양대학교,학생부종합,미디어커뮤니케이션학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
194,한양대학교,학생부종합,관광학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
195,한양대학교,학생부종합,수학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
196,한양대학교,학생부종합,물리학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
197,한양대학교,학생부종합,화학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
198,한양대학교,학생부종합,생명과학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
199,한양대학교,학생부종합,정책학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
200,한양대학교,학생부종합,행정학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
201,한양대학교,학생부종합,경제금융학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
202,한양대학교,학생부종합,경영학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
203,한양대학교,학생부종합,파이낸스경영학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
204,한양대학교,학생부종합,교육학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
205,한양대학교,학생부종합,교육공학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
206,한양대학교,학생부종합,국어교육과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
207,한양대학교,학생부종합,영어교육과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
208,한양대학교,학생부종합,수학교육과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
209,한양대학교,학생부종합,응용미술교육과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
210,한양대학교,학생부종합,의류학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,no,no,12월 14일
